credit_level,etc_amt,sa_amt,sbyb_amt,sjyh_amt
-1,0,0,0,0
-1,0,0,0,0
-1,0,2057.33,0,0
60,0,601040,0,0
60,0,0,0,0
60,0,0,0,205000
60,0,0,0,0
60,0,0,0,428000
60,0,0,0,0
60,0,487277.23,0,8342.46
60,43.36,74727.61,0,100000
60,0,2823.3300000000004,39000,0
60,0,2494.92,0,27.42
60,0,80000,0,0
60,0,0,0,0
-1,0,0,0,160000
70,0,187276.19999999995,0,0
70,0,30612.12,1025251,26003
-1,0,0,0,0
60,0,20019.129999999997,0,0
-1,0,0,0,0
85,0,39404.96,0,0
70,0,59178,0,0
60,0,0,0,0
85,0,3371.0400000000004,984835,0
60,0,1800360,0,0
60,0,71707.12999999993,0,0
60,0,40569.64,0,0
60,0,0,0,0
60,0,602577.74,0,0
-1,0,371564.98,0,17300
-1,0,105857.09000000001,0,40800
60,0,676168.0800000001,0,653154
70,0,36868.79,0,32590
70,708.6200000000002,0,0,500000
60,0,0,0,0
60,11.94,9866.95,0,0
60,0,222230.57,0,160087.91
60,0,0,0,0
60,0,15952.26,889331,0
60,0,262.67,0,19000
70,0,53768.100000000006,0,54550
60,0,0,0,312688
60,0,0,0,262700
60,0,50162.4,0,0
60,0,0,0,0
60,0,212700,0,0
70,0,14321.329999999998,0,0
-1,0,8628.37,365090,0
70,0,0,0,0
70,0,0,0,0
60,0,13253.26,0,83520
60,2830.75,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
70,0,308,39500,0
60,0,0,0,0
70,0,0,0,0
60,0,1801075.9,0,0
-1,0,0,0,0
60,0,4796.99,813331,48000
70,0,210397.81,0,0
60,0,20000.019999999997,0,0
70,0,4154.2300000000005,390,0
60,0,1952837.01,0,10000
-1,0,0,0,0
-1,0,0,0,0
85,0,1176450,0,0
-1,0,427582.2100000001,0,125500
60,0,99149.2,0,150000
70,0,0,0,0
70,0,0,0,0
70,0,0,0,0
-1,0,903740,0,0
60,0,399979.33999999997,0,0
-1,0,3301.9100000000003,0,0
60,0,800080,0,90000
85,0,612272,0,1256842.4
60,999.5600000000003,216449.73000000004,0,10000
60,0,0,0,0
-1,0,0,0,25000
60,0,169054.83000000002,0,63000
60,0,12728.169999999998,0,30000
-1,0,3877.91,39500,0
60,0,2931.7799999999997,0,0
60,0,1166.48,0,0
-1,0,0,0,0
60,0,432062.72,0,0
60,0,223107.33000000002,0,95000
70,0,0,0,0
60,0,131041.19,0,0
60,0,8867,390,157804.74
60,0,10791,0,347558
60,0,0,0,189000
60,0,0,0,0
70,0,0,0,0
60,0,4173526.1299999994,0,0
60,0,0,0,0
-1,0,12,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,24566.309999999998,0,0
60,5405.910000000002,256159.21999999997,39000,19226.64
60,0,316926.70999999996,0,50900
70,763.9300000000002,543655.24,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,10806.67,0,7200
70,0,27992.809999999998,0,80700.27
60,0,4890,0,0
-1,0,0,0,0
60,0,41311.13,0,0
60,0,61670.67,0,0
-1,0,264539.38,0,107923.04999999999
60,0,200000,0,100
60,0,0,0,0
60,0,0,0,0
60,506.3499999999999,786.71,0,0
60,0,20361.08,0,0
-1,0,0,0,0
60,0,600,0,0
60,0,600,0,0
85,0,0,0,0
-1,0,177604.58000000002,0,72931.88
60,0,0,0,0
60,0,23094.78,0,0
60,0,11849.52,0,0
60,0,173197.23999999996,0,300000
70,879.61,2561584.9899999998,0,331100
-1,222.1,38420.85,0,0
60,0,3016,500,0
60,0,0,0,195000
-1,0,15700.08,39000,0
70,0,17699.27999999999,0,0
50,0,0,0,0
70,0,0,0,0
-1,116.44,0,201257.60000000006,0
60,0,0,0,0
70,0,9446,39500,0
60,0,32000,0,26700
70,1504.4,30410.42,0,0
60,0,126644.89,39000,238500
60,0,8000,0,50000
60,0,0,0,359000
70,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,118281.85999999999,0,0
60,0,0,0,0
60,0,0,0,0
60,300.23,86827.55000000002,390,0
60,0,103060.67,0,112000
-1,135.66999999999996,7113.68,390,0
60,0,3673.6,404090,0
-1,0,208288,0,599512.46
60,655.6600000000001,19916.920000000002,0,301800
60,0,0,0,0
60,173.43,77414.38,0,0
70,0,13524.29,0,0
60,0,0,0,0
60,96.9,270993.24,0,170000
60,0,16694.13,0,0
70,0,436.8,39000,0
70,0,0,39000,0
-1,0,4335.63,0,0
85,0,0,0,0
60,0,0,0,0
60,0,177602,0,368952
60,0,13000,0,827031
60,0,7549.5,39000,0
60,0,99530.77,0,300
-1,0,0,0,0
60,0,0,0,0
60,0,186258.97999999998,0,0
-1,0,98400,39000,0
60,0,1290087.6800000002,390,50000
60,0,24213.710000000003,390,133000
70,377.6300000000001,0,0,0
60,0,0,39500,0
60,0,0,0,0
60,0,110415.32,0,47000
60,0,0,0,418000
60,0,0,0,0
70,0,0,0,0
-1,0,70970.91,0,67324.28
70,0,11154.58,0,0
60,0,645521.14,0,0
60,0,0,0,0
70,868.1999999999999,2118.9,0,0
60,0,29744.41,0,0
-1,0,7137.589999999999,0,0
60,0,620350,0,0
60,0,0,0,196283
60,0,4880,0,0
60,0,1939.5,0,0
60,2217.52,129506.12000000001,0,194572
60,0,1206120,0,100061
60,0,10044671,0,9653451.83
70,0,20370.290000000008,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,3062.57,0,0
60,0,0,0,0
60,0,354486.67000000004,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,2521.67,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
70,0,0,0,0
70,0,0,0,0
70,0,0,0,0
70,0,0,0,0
60,0,564.34,0,0
-1,0,0,0,0
70,0,0,0,0
60,0,845675.5,0,0
60,0,0,0,0
60,0,0,0,0
85,0,41506.3,0,0
60,0,14345.83,0,0
-1,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
85,0,1162538.78,39000,40000
60,0,0,0,0
50,0,24248.050000000003,0,102990.95999999999
60,0,0,0,0
60,68.18,0,0,0
60,0,1591.25,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
-1,0,3952.08,0,0
60,0,0,0,0
60,0,74910.76000000001,0,0
70,0,0,0,0
60,0,0,0,0
-1,0,850807.68,0,50
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,498.2,39000,0
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,410.04,0,0
85,195.98,202225.59999999998,0,120000
60,0,12858,0,4500
60,0,0,0,0
60,0,1624,0,0
-1,0,0,0,0
60,0,86.39,0,0
70,274.55,730341.24,0,211000
60,0,2445.67,0,0
60,289.28000000000003,4.38,0,149985.95
60,0,189665.41999999995,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,4214.67,0,0
60,0,50000,0,0
70,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,6174.9,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,40,0,0
60,0,392951.67,0,0
60,0,0,0,0
60,0,505915.72000000003,0,0
60,0,38375.53,0,0
-1,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,105513.33,0,250150
60,0,0,0,0
70,0,0,0,0
60,0,0,0,0
60,0,132.17000000000002,0,0
-1,0,0,0,0
-1,0,0,0,0
-1,0,158.6,0,0
60,0,19125.350000000002,0,98000
60,0,0,0,0
70,0,4536.139999999999,0,0
70,0,0,0,0
-1,0,0,0,0
-1,0,10248.679999999997,0,0
60,0,1321.67,0,6738000
60,0,0,0,0
60,0,0,0,0
60,0,25288.23,0,0
60,0,0,0,200000
70,0,1575589.51,0,26735
-1,0,1460.8099999999997,0,0
60,0,3686.67,0,0
70,0,0,0,0
-1,0,0,0,0
60,0,8213.7,0,0
60,0,0,0,0
60,0,464.33000000000004,0,0
60,0,0,0,0
-1,0,613071.67,0,456500
50,0,5560,0,1531405.93
60,0,0,0,0
-1,68.4,445112.20000000007,0,155890
60,0,0,0,0
60,0,0,0,0
85,0,0,0,0
60,0,1626.92,0,0
-1,0,0,0,0
60,0,1613.33,0,0
-1,0,0,0,0
60,0,0,0,45000
-1,0,1382.83,0,0
60,0,0,0,0
60,0,0,0,50000
60,0,0,0,0
60,0,598500,0,0
60,0,0,0,50000
60,0,401953.33,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,1751.95,0,0,0
60,0,341674.83,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,137250
70,0,408,0,0
60,76.86,0,0,0
60,0,445975.60000000003,0,12000
60,0,0,0,0
60,0,0,0,0
-1,0,301160,0,0
60,0,9910,0,0
60,0,0,0,0
60,0,0,0,0
60,0,4094.13,0,7000
70,0,1800,500,0
-1,0,4320,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,1201891,0,0
60,0,37421.67,0,73001
-1,219.86,58381.31,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,4347.2,412800,0
60,0,402882.04,0,0
60,0,3321.67,0,0
60,0,101360.83,0,0
60,0,0,0,319160
-1,0,1586265.9300000002,0,0
-1,0,0,0,0
60,0,2425.17,0,0
60,0,0,0,300000
60,0,0,0,0
60,0,2800,0,4746
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
70,0,3857.5,0,0
70,0,0,0,0
60,0,0,0,0
-1,0,332.17,0,13800
60,0,0,0,0
70,0,7741.82,0,1362500
60,0,0,0,0
60,0,0,0,0
60,0,1110,0,0
70,2703.7400000000007,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,181280
60,0,2526.32,0,0
60,0,50886.67,0,290000
60,0,0,0,0
-1,0,746.6700000000001,0,0
60,0,16166.2,0,27000
60,0,0,0,0
60,0,0,0,0
60,0,6295.530000000001,0,0
60,0,0,0,0
60,0,181500,0,0
60,0,100,0,0
60,0,104229.57999999999,0,0
70,0,481183.62,39000,0
60,0,0,0,0
-1,0,0,0,0
60,0,152507.00000000003,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,15170.8,0,0
60,0,0,0,0
-1,0,27616.56,0,0
60,0,0,0,0
-1,0,120002,0,0
60,0,12171.710000000001,0,0
60,0,920.8299999999999,0,0
-1,0,138204.94999999998,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
70,0,11157890.059999999,0,2030375
60,0,1341.05,0,14200
60,0,0,0,0
60,0,0,0,200000
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,19800
60,0,20612.54,0,110000
70,0,0,0,110
60,0,0,0,0
60,0,396.5,0,4500
-1,0,0,0,0
70,0,3206.0799999999995,0,0
60,0,0,0,0
60,0,93886,0,0
70,0,45500,0,0
60,99.12,4622.89,0,310300
60,0,0,0,0
60,0,1923.92,0,0
60,0,1002660.67,0,0
60,0,0,0,0
60,0,0,0,0
60,0,2621.86,0,100000
60,0,0,0,0
60,0,0,0,0
70,0,42,0,0
60,0,0,0,0
60,0,0,0,0
60,117.8,6,0,0
60,0,0,0,0
60,0,1497.44,0,0
60,0,0,0,0
-1,0,14560,0,80380
60,0,0,0,104100
60,0,251.12,0,0
-1,0,0,0,0
70,0,0,0,0
70,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,1386817.5,0,0
70,0,87885.61,0,0
60,0,0,0,0
70,0,0,0,0
-1,0,647,0,0
60,0,901122,0,0
60,0,16261.269999999999,0,0
-1,0,74045,0,0
60,0,0,0,0
85,0,15826.38999999993,50000,0
70,0,0,0,0
70,0,6786.16,0,0
60,0,7025,0,0
60,0,0,0,0
70,0,11827084.98,480090,2924600
60,0,0,0,90000
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,913.3299999999999,0,0
60,0,549.47,0,0
-1,0,0,39000,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,70495.5,0,1600
60,0,3837.12,0,0
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,0,0,0
60,0,4200.01,0,0
60,0,72838.51,0,57200
60,0,170626.37999999998,0,0
60,0,28901.659999999996,0,40000
-1,0,0,0,0
-1,0,5874.64,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,100136,0,0
60,0,6283.4800000000005,0,0
60,0,301320,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,0,0,0
60,0,485789,0,0
60,0,0,0,211410
60,0,512393.66000000003,0,883312
60,0,0,0,0
-1,0,0,0,0
60,0,92655.51999999999,0,30300
85,0,4989.02,0,0
70,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,122271.76999999999,0,54266
-1,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,144942
60,0,0,0,2100
-1,0,1101.73,0,0
60,0,3858.7300000000005,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,824907.67,0,145
70,2202.51,0,0,1470000
60,0,1791,0,6000
60,0,12100,0,47000
60,0,0,0,0
60,0,67487,0,777778
-1,0,2155.7400000000002,39000,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,797.0699999999999,0,0
60,0,0,0,0
60,0,0,0,200000
70,0,0,0,0
-1,0,0,0,0
85,0,4824.400000000001,1193331,0
60,0,0,0,0
60,0,2426.7400000000002,0,0
60,0,0,0,0
60,0,22364.25,0,0
60,0,1360.93,0,77200
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,100,0,0
60,0,1005865.33,0,0
60,0,349.13,0,0
60,0,732,0,273000
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,0,0,24000
85,0,48.4,1190,0
-1,0,0,0,0
60,0,1991.35,0,0
60,0,2096.38,0,0
70,0,4916.42,0,0
-1,0,0,0,0
60,0,200247.22,0,0
70,0,0,0,0
60,0,309.37,0,0
60,0,433055.02,0,0
60,0,352.8,0,0
60,0,0,0,31000
60,0,0,0,136000
60,0,49950.04,0,0
60,0,1600,0,0
60,0,75382.5,0,0
60,0,0,0,0
60,0,19556,0,0
60,0,2073.25,0,0
60,0,14517.5,0,0
60,0,705044.3,0,0
60,0,0,0,0
60,0,996.5,0,0
-1,0,19389.37,0,160494
60,0,0,0,0
60,0,17457.43,0,9280
60,438.83,0,0,30000
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,203400.97,0,106000
60,0,8292.5,0,0
60,0,0,0,0
60,0,0,0,352157.56999999995
60,0,580,0,0
-1,0,184618.74,0,0
60,0,600.77,0,0
-1,0,44995.25,0,33945
60,0,0,0,0
60,0,0,0,0
60,0,4996.63,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,406.66999999999996,0,195200
60,0,0,0,174922.91999999998
60,0,305.73,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,2183.33,0,0
60,0,0,0,0
60,0,0,0,0
60,0,619596.82,0,0
60,0,0,0,0
60,375.75,0,0,0
60,0,44217.23,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,38400,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,2679.9,0,0
60,0,782.67,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
70,0,0,0,0
70,0,5000,39500,0
60,0,800,0,0
-1,0,403421.1,0,0
60,0,0,0,0
60,0,62539,0,0
-1,0,11109.1,0,0
60,0,572158.32,0,556450
-1,0,0,0,0
60,0,1445.87,0,572219.91
-1,0,0,0,0
60,0,0,0,131100
60,0,169.2,0,0
60,0,0,0,0
60,0,293200,0,114160
60,0,0,0,0
70,0,0,0,0
60,0,1387.73,0,0
60,0,2400,0,0
60,597.4500000000002,4134323.85,0,4284442.8
-1,0,0,0,0
60,0,0,0,0
-1,0,0,390,0
60,0,602120,0,0
60,0,0,0,99000
60,0,0,0,0
70,0,0,0,0
60,0,3452.08,0,0
60,0,574.94,0,180000
60,0,0,0,0
70,0,11032.1,39500,0
60,0,2921.67,0,389900
60,204.25,36600,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,39.5,7170.25,0,0
-1,0,1206.5,39500,0
60,0,828.6700000000001,0,0
60,0,0,0,0
60,0,48342.340000000004,0,0
-1,0,34398.44,0,0
-1,0,332.17,0,0
60,0,596.5,0,0
60,0,4539.83,0,0
60,0,0,0,0
60,0,0,0,0
60,0,2000,0,9960
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,600000,0,0
60,0,0,0,0
60,0,348.6,0,0
60,0,0,0,0
60,0,1032.47,0,0
70,0,0,0,0
-1,0,4040,0,0
60,0,0,0,0
-1,0,0,0,0
70,0,0,0,0
70,0,0,0,0
70,0,33827.56,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,2671.67,0,0
-1,0,30050.07,0,0
60,0,3000,0,0
-1,0,0,0,10900
-1,0,0,0,0
60,0,1860.89,0,0
60,0,0,0,0
60,0,0,0,93838
60,0,4148,0,0
60,0,1270.67,0,0
60,0,2671.67,0,0
50,0,660.8299999999999,0,0
60,0,1325.83,0,0
60,0,94313.33,0,0
60,0,1321.67,0,100000
60,0,354.3,0,0
70,0,0,0,0
60,0,0,0,400000
60,0,0,0,0
60,0,1600939.91,0,156501
60,0,0,0,0
60,0,0,0,0
60,0,801321,0,5000
60,0,0,0,0
60,0,628542.12,0,651526
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,434325.08999999997,0,0
60,0,14876.42,0,0
60,0,0,0,119000
60,0,0,0,137500
60,0,218700.67,0,482849.86999999994
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,17978.55,0,0
70,0,0,0,0
60,0,0,0,0
60,0,11306.94,0,53500
-1,0,4881.8,0,0
60,0,13468.35,0,0
60,0,68668.41,0,0
60,0,0,0,0
60,0,0,0,58500
70,0,0,0,0
60,0,0,0,15000
-1,0,10667.89,0,500
60,0,45527.9,39500,9000
60,0,0,0,0
85,0,0,0,0
60,0,0,0,0
60,0,0,0,89600
60,0,415479.47000000003,0,75710
60,0,0,0,221602
60,0,396.5,0,0
70,0,26915.02,0,0
70,0,29452.23,0,0
60,0,0,0,0
-1,0,44263.12,0,0
60,0,0,0,0
60,0,252145,0,1729570
60,0,813.3299999999999,0,0
60,0,0,0,0
60,0,660.8299999999999,0,50000
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,0,0,0
-1,0,61344.83,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,4321.67,0,4000
-1,0,5120,39500,0
60,0,4321.860000000001,0,100000
60,0,607.97,0,0
60,0,1086.92,0,0
60,0,0,0,0
60,0,0,0,0
60,0,4191.57,0,0
-1,0,40008.44,39500,0
60,0,1286.67,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,395100,0,0
60,0,0,0,0
60,0,90033.59999999998,0,18000
60,0,400,0,0
-1,0,155677.15,0,0
60,0,2351.61,0,0
-1,0,1911.95,0,0
60,0,66.08,0,0
70,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
70,0,9187.68,0,0
-1,0,0,0,0
60,0,896.7,0,0
60,0,7938.55,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,1270
60,0,0,0,0
60,0,0,0,44444
60,0,34000,0,0
60,0,10600,0,0
60,0,131.53,0,0
60,0,0,0,0
60,0,13747.23,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,370173.47,0,0
-1,0,0,0,0
60,0,600720,0,0
70,0,0,0,0
60,0,363771.67,0,0
-1,0,75.7,0,0
60,0,0,0,0
70,0,0,0,0
60,0,399.6,0,0
-1,0,190365.07,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,8000,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,234.51,0,0
60,0,30000,0,0
60,0,2321.67,0,100000
-1,0,0,0,0
60,0,55348.1,0,378289.1
60,0,47214.44,0,0
60,0,7295.48,0,0
60,0,0,0,0
60,0,0,0,0
85,0,2481.67,0,0
60,0,0,0,2500
60,0,0,0,0
60,0,0,0,0
70,0,0,0,0
60,0,859.08,0,0
60,0,0,0,0
60,0,0,0,150000
60,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,227907,0,281530
60,0,748.91,0,0
-1,0,0,0,0
60,0,0,0,0
-1,0,0,0,706427
-1,0,93175.64,0,0
60,0,3,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,3680,0,0
60,0,0,0,0
70,0,0,50390,0
60,0,444483.34,0,169000
60,0,45505.92,0,0
60,0,463779.02999999997,0,0
60,0,0,0,0
60,752.2200000000005,107274,0,0
60,0,48994.33,0,0
60,0,0,0,0
-1,0,405.59,0,0
60,0,281067.66,0,0
60,0,1813.33,0,0
60,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
70,0,0,0,0
-1,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,5440,0,300000
60,0,0,0,0
60,0,0,0,0
60,0,1110388.74,0,0
-1,0,2601.85,0,0
60,0,0,0,0
60,0,0,0,0
60,0,616.63,0,0
60,0,0,0,0
60,0,0,0,0
60,0,254066.93,0,0
60,0,0,0,0
70,0,958.21,0,205730
60,0,1121774.67,0,0
60,0,1016328.7700000001,0,341500
60,0,0,0,0
60,0,6610.02,0,0
-1,0,11773.75,0,0
